Timestamp,Device_ID,Temperature_C,Humidity_%,Distance_cm,Material_Level_%,Status,Active_Alerts
2026-06-01 08:00:00,REMAC_LDPE_004,36.7,64.2,28.33,30.7,DANGER,High Humidity
2026-06-01 08:00:05,REMAC_LDPE_004,29.6,66.1,38.66,3.5,DANGER,High Humidity; Low Material Level
2026-06-01 08:00:10,REMAC_LDPE_004,33.9,60.0,27.72,32.3,SAFE,None
2026-06-01 08:00:15,REMAC_LDPE_004,35.9,59.9,19.32,54.4,SAFE,None
2026-06-01 08:00:20,REMAC_LDPE_004,35.6,58.1,19.03,55.2,SAFE,None
2026-06-01 08:00:25,REMAC_LDPE_004,43.1,57.0,26.45,35.7,DANGER,High Temperature
2026-06-01 08:00:30,REMAC_LDPE_004,36.0,58.9,23.0,44.7,SAFE,None
2026-06-01 08:00:35,REMAC_LDPE_004,32.0,65.8,3.31,96.6,DANGER,High Humidity
2026-06-01 08:00:40,REMAC_LDPE_004,34.7,60.5,25.66,37.7,DANGER,High Humidity
2026-06-01 08:00:45,REMAC_LDPE_004,29.7,67.6,30.19,25.8,DANGER,High Humidity
2026-06-01 08:00:50,REMAC_LDPE_004,34.8,65.2,30.75,24.3,DANGER,High Humidity
2026-06-01 08:00:55,REMAC_LDPE_004,32.5,55.2,22.6,45.8,SAFE,None
2026-06-01 08:01:00,REMAC_LDPE_004,37.7,68.3,11.14,76.0,DANGER,High Humidity
2026-06-01 08:01:05,REMAC_LDPE_004,33.4,69.1,32.17,20.6,DANGER,High Humidity
2026-06-01 08:01:10,REMAC_LDPE_004,34.6,60.0,13.05,70.9,SAFE,None
2026-06-01 08:01:15,REMAC_LDPE_004,33.1,67.1,39.2,2.1,DANGER,High Humidity; Low Material Level
2026-06-01 08:01:20,REMAC_LDPE_004,40.2,60.7,24.08,41.9,DANGER,High Temperature; High Humidity
2026-06-01 08:01:25,REMAC_LDPE_004,34.0,65.5,10.52,77.6,DANGER,High Humidity
2026-06-01 08:01:30,REMAC_LDPE_004,40.5,58.7,27.13,33.9,DANGER,High Temperature
2026-06-01 08:01:35,REMAC_LDPE_004,37.4,56.0,18.58,56.4,SAFE,None
2026-06-01 08:01:40,REMAC_LDPE_004,36.4,63.1,32.21,20.5,DANGER,High Humidity
2026-06-01 08:01:45,REMAC_LDPE_004,36.1,64.4,11.8,74.2,DANGER,High Humidity
2026-06-01 08:01:50,REMAC_LDPE_004,36.2,63.0,38.01,5.2,DANGER,High Humidity; Low Material Level
2026-06-01 08:01:55,REMAC_LDPE_004,29.2,59.1,7.6,85.3,SAFE,None
2026-06-01 08:02:00,REMAC_LDPE_004,34.2,63.0,32.47,19.8,DANGER,High Humidity
2026-06-01 08:02:05,REMAC_LDPE_004,37.5,66.3,6.77,87.4,DANGER,High Humidity
2026-06-01 08:02:10,REMAC_LDPE_004,34.9,64.8,26.6,35.3,DANGER,High Humidity
2026-06-01 08:02:15,REMAC_LDPE_004,30.8,65.9,12.54,72.3,DANGER,High Humidity
2026-06-01 08:02:20,REMAC_LDPE_004,34.8,61.6,27.87,31.9,DANGER,High Humidity
2026-06-01 08:02:25,REMAC_LDPE_004,40.1,70.9,5.58,90.6,DANGER,High Temperature; High Humidity
2026-06-01 08:02:30,REMAC_LDPE_004,38.7,59.1,35.19,12.7,DANGER,Low Material Level
2026-06-01 08:02:35,REMAC_LDPE_004,34.8,67.4,33.22,17.9,DANGER,High Humidity
2026-06-01 08:02:40,REMAC_LDPE_004,37.9,70.9,21.26,49.3,DANGER,High Humidity
2026-06-01 08:02:45,REMAC_LDPE_004,33.9,67.4,36.89,8.2,DANGER,High Humidity; Low Material Level
2026-06-01 08:02:50,REMAC_LDPE_004,29.9,64.0,32.55,19.6,DANGER,High Humidity
2026-06-01 08:02:55,REMAC_LDPE_004,32.2,62.4,4.14,94.4,DANGER,High Humidity
2026-06-01 08:03:00,REMAC_LDPE_004,39.7,70.2,2.89,97.6,DANGER,High Humidity
2026-06-01 08:03:05,REMAC_LDPE_004,34.2,57.9,25.7,37.6,SAFE,None
2026-06-01 08:03:10,REMAC_LDPE_004,34.3,60.1,4.92,92.3,DANGER,High Humidity
2026-06-01 08:03:15,REMAC_LDPE_004,34.1,63.0,19.3,54.5,DANGER,High Humidity
2026-06-01 08:03:20,REMAC_LDPE_004,40.7,71.2,29.75,27.0,DANGER,High Temperature; High Humidity
2026-06-01 08:03:25,REMAC_LDPE_004,39.9,66.9,13.31,70.2,DANGER,High Humidity
2026-06-01 08:03:30,REMAC_LDPE_004,41.7,60.2,14.96,65.9,DANGER,High Temperature; High Humidity
2026-06-01 08:03:35,REMAC_LDPE_004,34.5,63.4,2.41,98.9,DANGER,High Humidity
2026-06-01 08:03:40,REMAC_LDPE_004,35.9,61.9,29.93,26.5,DANGER,High Humidity
2026-06-01 08:03:45,REMAC_LDPE_004,30.5,61.5,14.46,67.2,DANGER,High Humidity
2026-06-01 08:03:50,REMAC_LDPE_004,39.4,69.9,38.02,5.2,DANGER,High Humidity; Low Material Level
2026-06-01 08:03:55,REMAC_LDPE_004,31.5,58.1,35.68,11.4,DANGER,Low Material Level
2026-06-01 08:04:00,REMAC_LDPE_004,35.7,73.0,39.85,0.4,DANGER,High Humidity; Low Material Level
2026-06-01 08:04:05,REMAC_LDPE_004,31.7,69.1,2.02,99.9,DANGER,High Humidity
2026-06-01 08:04:10,REMAC_LDPE_004,33.2,70.5,9.51,80.2,DANGER,High Humidity
2026-06-01 08:04:15,REMAC_LDPE_004,32.5,62.7,10.1,78.7,DANGER,High Humidity
2026-06-01 08:04:20,REMAC_LDPE_004,33.2,64.3,20.63,51.0,DANGER,High Humidity
2026-06-01 08:04:25,REMAC_LDPE_004,33.4,57.8,28.6,30.0,SAFE,None
2026-06-01 08:04:30,REMAC_LDPE_004,33.4,62.4,34.25,15.1,DANGER,High Humidity
2026-06-01 08:04:35,REMAC_LDPE_004,37.5,67.5,29.18,28.5,DANGER,High Humidity
2026-06-01 08:04:40,REMAC_LDPE_004,31.7,71.5,25.71,37.6,DANGER,High Humidity
2026-06-01 08:04:45,REMAC_LDPE_004,35.7,59.5,11.26,75.6,SAFE,None
2026-06-01 08:04:50,REMAC_LDPE_004,38.7,63.2,19.49,54.0,DANGER,High Humidity
2026-06-01 08:04:55,REMAC_LDPE_004,33.5,64.2,37.06,7.7,DANGER,High Humidity; Low Material Level
2026-06-01 08:05:00,REMAC_LDPE_004,32.8,58.0,39.31,1.8,DANGER,Low Material Level
2026-06-01 08:05:05,REMAC_LDPE_004,34.3,68.0,36.11,10.2,DANGER,High Humidity; Low Material Level
2026-06-01 08:05:10,REMAC_LDPE_004,38.5,61.4,24.4,41.0,DANGER,High Humidity
2026-06-01 08:05:15,REMAC_LDPE_004,35.6,64.0,4.54,93.3,DANGER,High Humidity
2026-06-01 08:05:20,REMAC_LDPE_004,33.4,62.7,15.78,63.7,DANGER,High Humidity
2026-06-01 08:05:25,REMAC_LDPE_004,36.5,61.1,9.53,80.2,DANGER,High Humidity
2026-06-01 08:05:30,REMAC_LDPE_004,31.7,65.0,22.28,46.6,DANGER,High Humidity
2026-06-01 08:05:35,REMAC_LDPE_004,37.0,63.9,26.26,36.2,DANGER,High Humidity
2026-06-01 08:05:40,REMAC_LDPE_004,36.2,63.1,35.88,10.8,DANGER,High Humidity; Low Material Level
2026-06-01 08:05:45,REMAC_LDPE_004,34.1,61.4,6.71,87.6,DANGER,High Humidity
2026-06-01 08:05:50,REMAC_LDPE_004,32.5,66.6,10.24,78.3,DANGER,High Humidity
2026-06-01 08:05:55,REMAC_LDPE_004,32.3,73.3,33.61,16.8,DANGER,High Humidity
2026-06-01 08:06:00,REMAC_LDPE_004,36.6,65.7,20.53,51.2,DANGER,High Humidity
2026-06-01 08:06:05,REMAC_LDPE_004,38.7,70.0,21.48,48.7,DANGER,High Humidity
2026-06-01 08:06:10,REMAC_LDPE_004,33.1,58.0,16.25,62.5,SAFE,None
2026-06-01 08:06:15,REMAC_LDPE_004,36.4,65.8,4.04,94.6,DANGER,High Humidity
2026-06-01 08:06:20,REMAC_LDPE_004,28.7,59.5,17.97,58.0,SAFE,None
2026-06-01 08:06:25,REMAC_LDPE_004,33.2,57.6,19.47,54.0,SAFE,None
2026-06-01 08:06:30,REMAC_LDPE_004,34.9,61.3,38.09,5.0,DANGER,High Humidity; Low Material Level
2026-06-01 08:06:35,REMAC_LDPE_004,32.3,71.0,37.61,6.3,DANGER,High Humidity; Low Material Level
2026-06-01 08:06:40,REMAC_LDPE_004,32.2,69.8,32.88,18.7,DANGER,High Humidity
2026-06-01 08:06:45,REMAC_LDPE_004,33.0,66.2,38.77,3.2,DANGER,High Humidity; Low Material Level
2026-06-01 08:06:50,REMAC_LDPE_004,35.9,57.3,11.75,74.3,SAFE,None
2026-06-01 08:06:55,REMAC_LDPE_004,34.4,64.0,12.51,72.3,DANGER,High Humidity
2026-06-01 08:07:00,REMAC_LDPE_004,28.3,66.5,34.83,13.6,DANGER,High Humidity; Low Material Level
2026-06-01 08:07:05,REMAC_LDPE_004,28.6,65.9,8.23,83.6,DANGER,High Humidity
2026-06-01 08:07:10,REMAC_LDPE_004,33.2,55.8,34.12,15.5,SAFE,None
2026-06-01 08:07:15,REMAC_LDPE_004,36.4,60.5,28.56,30.1,DANGER,High Humidity
2026-06-01 08:07:20,REMAC_LDPE_004,26.8,64.7,30.54,24.9,DANGER,High Humidity
2026-06-01 08:07:25,REMAC_LDPE_004,33.5,67.7,25.85,37.2,DANGER,High Humidity
2026-06-01 08:07:30,REMAC_LDPE_004,33.4,54.0,30.32,25.5,SAFE,None
2026-06-01 08:07:35,REMAC_LDPE_004,39.2,64.2,21.42,48.9,DANGER,High Humidity
2026-06-01 08:07:40,REMAC_LDPE_004,33.8,65.7,24.52,40.7,DANGER,High Humidity
2026-06-01 08:07:45,REMAC_LDPE_004,36.1,69.2,2.51,98.7,DANGER,High Humidity
2026-06-01 08:07:50,REMAC_LDPE_004,35.4,68.5,37.87,5.6,DANGER,High Humidity; Low Material Level
2026-06-01 08:07:55,REMAC_LDPE_004,28.6,67.9,34.6,14.2,DANGER,High Humidity; Low Material Level
2026-06-01 08:08:00,REMAC_LDPE_004,37.3,61.0,37.99,5.3,DANGER,High Humidity; Low Material Level
2026-06-01 08:08:05,REMAC_LDPE_004,35.6,55.5,16.22,62.6,SAFE,None
2026-06-01 08:08:10,REMAC_LDPE_004,36.5,63.0,37.93,5.5,DANGER,High Humidity; Low Material Level
2026-06-01 08:08:15,REMAC_LDPE_004,46.8,70.0,8.22,83.6,DANGER,High Temperature; High Humidity
2026-06-01 08:08:20,REMAC_LDPE_004,28.7,72.0,20.55,51.2,DANGER,High Humidity
2026-06-01 08:08:25,REMAC_LDPE_004,40.2,68.6,19.97,52.7,DANGER,High Temperature; High Humidity
2026-06-01 08:08:30,REMAC_LDPE_004,34.1,67.1,18.66,56.2,DANGER,High Humidity
2026-06-01 08:08:35,REMAC_LDPE_004,35.9,66.9,33.51,17.1,DANGER,High Humidity
2026-06-01 08:08:40,REMAC_LDPE_004,34.9,62.2,32.49,19.8,DANGER,High Humidity
2026-06-01 08:08:45,REMAC_LDPE_004,33.7,64.3,27.88,31.9,DANGER,High Humidity
2026-06-01 08:08:50,REMAC_LDPE_004,33.3,73.3,17.45,59.3,DANGER,High Humidity
2026-06-01 08:08:55,REMAC_LDPE_004,36.0,60.3,32.02,21.0,DANGER,High Humidity
