Timestamp,Temperature,Humidity,Distance,Material_Level
2026-06-01 09:06:00,25.2,27.8,23.81,42.6
2026-06-01 09:06:05,26.5,33.5,7.89,84.5
2026-06-01 09:06:10,30.5,30.3,12.88,71.4
2026-06-01 09:06:15,29.7,31.5,29.24,28.3
2026-06-01 09:06:20,31.8,45.0,17.22,60.0
2026-06-01 09:06:25,26.3,37.1,23.65,43.0
2026-06-01 09:06:30,29.0,39.7,39.75,0.7
2026-06-01 09:06:35,33.6,39.1,9.31,80.8
2026-06-01 09:06:40,26.4,34.5,35.33,12.3
2026-06-01 09:06:45,34.4,32.8,20.62,51.0
2026-06-01 09:06:50,26.8,36.2,27.22,33.6
2026-06-01 09:06:55,32.5,35.8,27.0,34.2
2026-06-01 09:07:00,28.9,32.2,21.86,47.7
2026-06-01 09:07:05,26.6,35.6,2.11,99.7
2026-06-01 09:07:10,28.5,31.5,24.48,40.8
2026-06-01 09:07:15,31.6,34.1,33.07,18.2
2026-06-01 09:07:20,30.0,33.3,16.68,61.4
2026-06-01 09:07:25,33.4,28.7,31.02,23.6
2026-06-01 09:07:30,34.3,23.2,35.99,10.6
2026-06-01 09:07:35,26.5,30.3,38.09,5.0
2026-06-01 09:07:40,26.2,44.0,39.13,2.3
2026-06-01 09:07:45,26.1,33.5,23.62,43.1
2026-06-01 09:07:50,27.3,38.9,23.78,42.7
2026-06-01 09:07:55,33.3,24.4,32.95,18.6
2026-06-01 09:08:00,31.7,30.0,10.21,78.4
2026-06-01 09:08:05,28.4,28.2,35.09,12.9
2026-06-01 09:08:10,30.0,34.0,5.22,91.5
2026-06-01 09:08:15,34.2,47.1,17.67,58.8
2026-06-01 09:08:20,35.7,37.3,38.95,2.8
2026-06-01 09:08:25,30.8,43.5,3.41,96.3
2026-06-01 09:08:30,22.0,33.7,28.3,30.8
2026-06-01 09:08:35,30.9,41.8,22.9,45.0
2026-06-01 09:08:40,32.8,45.4,29.2,28.4
2026-06-01 09:08:45,30.7,34.5,12.32,72.8
2026-06-01 09:08:50,32.2,32.3,21.54,48.6
2026-06-01 09:08:55,31.1,28.4,34.97,13.2
2026-06-01 09:09:00,26.3,33.5,36.04,10.4
2026-06-01 09:09:05,27.3,35.4,12.44,72.5
2026-06-01 09:09:10,29.0,45.2,30.99,23.7
2026-06-01 09:09:15,33.2,28.5,34.76,13.8
2026-06-01 09:09:20,27.7,35.3,21.02,49.9
2026-06-01 09:09:25,31.4,25.9,9.49,80.3
2026-06-01 09:09:30,30.9,32.9,29.41,27.9
2026-06-01 09:09:35,34.8,36.6,29.5,27.6
2026-06-01 09:09:40,29.9,37.6,8.31,83.4
2026-06-01 09:09:45,24.7,37.9,34.38,14.8
2026-06-01 09:09:50,31.9,37.0,16.56,61.7
2026-06-01 09:09:55,36.4,37.9,3.71,95.5
2026-06-01 09:10:00,32.1,35.2,8.03,84.1
2026-06-01 09:10:05,27.6,29.8,37.65,6.2
2026-06-01 09:10:10,26.8,25.7,27.84,32.0
2026-06-01 09:10:15,27.1,32.3,34.59,14.2
2026-06-01 09:10:20,36.0,34.3,3.93,94.9
2026-06-01 09:10:25,29.0,41.3,2.53,98.6
2026-06-01 09:10:30,28.0,34.5,31.07,23.5
2026-06-01 09:10:35,29.5,34.0,14.55,67.0
2026-06-01 09:10:40,29.0,36.9,8.02,84.2
2026-06-01 09:10:45,34.7,33.6,31.12,23.4
2026-06-01 09:10:50,27.0,39.1,32.87,18.8
2026-06-01 09:10:55,33.5,44.9,39.57,1.1
2026-06-01 09:11:00,30.4,46.0,24.35,41.2
2026-06-01 09:11:05,33.6,35.5,5.82,89.9
2026-06-01 09:11:10,34.7,36.7,5.69,90.3
2026-06-01 09:11:15,30.3,42.9,35.15,12.8
2026-06-01 09:11:20,29.1,34.3,32.23,20.4
2026-06-01 09:11:25,30.2,38.4,24.49,40.8
2026-06-01 09:11:30,29.7,29.3,10.34,78.1
2026-06-01 09:11:35,25.0,33.4,16.75,61.2
2026-06-01 09:11:40,34.7,40.8,20.47,51.4
2026-06-01 09:11:45,30.7,31.4,17.51,59.2
2026-06-01 09:11:50,26.5,34.4,36.34,9.6
2026-06-01 09:11:55,23.8,27.1,21.85,47.8
2026-06-01 09:12:00,23.0,45.0,2.3,99.2
2026-06-01 09:12:05,32.3,41.3,36.64,8.8
2026-06-01 09:12:10,28.1,35.9,20.27,51.9
2026-06-01 09:12:15,28.6,37.5,28.77,29.6
2026-06-01 09:12:20,31.5,37.0,19.48,54.0
2026-06-01 09:12:25,28.5,41.9,18.19,57.4
2026-06-01 09:12:30,31.6,32.4,18.06,57.7
2026-06-01 09:12:35,30.3,38.7,7.62,85.2
2026-06-01 09:12:40,29.7,40.4,25.19,39.0
2026-06-01 09:12:45,25.3,41.1,20.38,51.6
2026-06-01 09:12:50,27.5,23.7,39.58,1.1
2026-06-01 09:12:55,31.8,32.0,10.0,79.0
2026-06-01 09:13:00,28.0,29.9,30.14,25.9
2026-06-01 09:13:05,33.6,35.7,8.97,81.7
2026-06-01 09:13:10,37.0,24.9,29.91,26.6
2026-06-01 09:13:15,32.0,24.8,39.59,1.1
2026-06-01 09:13:20,34.5,45.9,34.12,15.5
2026-06-01 09:13:25,32.2,38.1,2.54,98.6
2026-06-01 09:13:30,28.4,35.6,27.85,32.0
2026-06-01 09:13:35,30.6,36.8,35.86,10.9
2026-06-01 09:13:40,36.0,35.7,35.49,11.9
2026-06-01 09:13:45,28.4,40.0,28.21,31.0
2026-06-01 09:13:50,26.9,31.8,38.57,3.8
2026-06-01 09:13:55,26.6,35.9,20.56,51.1
2026-06-01 09:14:00,29.3,36.1,31.88,21.4
2026-06-01 09:14:05,27.0,29.8,20.27,51.9
2026-06-01 09:14:10,35.0,41.4,34.65,14.1
2026-06-01 09:14:15,30.6,32.8,23.67,43.0
